triple,type,answer,link,statement
 kills bacteria,1,"Penicillin kills bacteria)
 ","http://www.cellsalive.com/pen.htm
","Penicillin kills bacteria by interfering with the ability to synthesize cell wall.
"
 kills bacteria,1,"Penicillin kills:(Penicillin kills bacteria by interfering with the ability)
 ","http://www.cellsalive.com/pen.htm
","Penicillin kills bacteria by interfering with the ability to synthesize cell wall.
"
 kills bacteria,1,"paint kills bacteria hospitals)
 ","http://money.cnn.com/2015/10/31/news/sherwin-williams-paint-kills-bacteria/
","Oct 31, 2015 ... sherwin williams paint kills bacteria hospitals Sherwin-Williams says its new paint kills bacteria and can be applied to hospital walls, doors and...
"
 kills bacteria,1,"Oct 31 says its new paint kills bacteria and can be applied to hospital walls, doors)
 ","http://money.cnn.com/2015/10/31/news/sherwin-williams-paint-kills-bacteria/
","Oct 31, 2015 ... sherwin williams paint kills bacteria hospitals Sherwin-Williams says its new paint kills bacteria and can be applied to hospital walls, doors and...
"
 kills bacteria,1,"Oct 31 says:(its new paint kills bacteria)
 ","http://money.cnn.com/2015/10/31/news/sherwin-williams-paint-kills-bacteria/
","Oct 31, 2015 ... sherwin williams paint kills bacteria hospitals Sherwin-Williams says its new paint kills bacteria and can be applied to hospital walls, doors and...
"
 kills bacteria,1,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.telegraph.co.uk/foodanddrink/11595559/Junk-food-kills-bacteria-that-protect-against-obesity-heart-disease-and-cancer-study-finds.html
","Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and...
"
 kills bacteria,1,"Emily, and I'd like to show you Alexander Fleming's famous discovery that bread mold kills bacteria.
 ","https://www.khanacademy.org/partner-content/mit-k12/mit-k12-biology/v/bread-mold-kills-bacteria
","
"
 kills bacteria,1,"that bread mold kills bacteria)
 ","https://www.khanacademy.org/partner-content/mit-k12/mit-k12-biology/v/bread-mold-kills-bacteria
","
"
 kills bacteria,1,"Penicillin kills bacteria)
 ","http://www.cellsalive.com/pen.htm
","Penicillin kills bacteria by interfering with the ability to synthesize cell wall.
"
 kills bacteria,1,"Penicillin kills:(Penicillin kills bacteria by interfering with the ability)
 ","http://www.cellsalive.com/pen.htm
","Penicillin kills bacteria by interfering with the ability to synthesize cell wall.
"
 kills bacteria,1,"paint kills bacteria hospitals)
 ","http://money.cnn.com/2015/10/31/news/sherwin-williams-paint-kills-bacteria/
","Oct 31, 2015 ... sherwin williams paint kills bacteria hospitals Sherwin-Williams says its new paint kills bacteria and can be applied to hospital walls, doors and...
"
 kills bacteria,1,"Oct 31 says its new paint kills bacteria and can be applied to hospital walls, doors)
 ","http://money.cnn.com/2015/10/31/news/sherwin-williams-paint-kills-bacteria/
","Oct 31, 2015 ... sherwin williams paint kills bacteria hospitals Sherwin-Williams says its new paint kills bacteria and can be applied to hospital walls, doors and...
"
 kills bacteria,1,"Oct 31 says:(its new paint kills bacteria)
 ","http://money.cnn.com/2015/10/31/news/sherwin-williams-paint-kills-bacteria/
","Oct 31, 2015 ... sherwin williams paint kills bacteria hospitals Sherwin-Williams says its new paint kills bacteria and can be applied to hospital walls, doors and...
"
 kills bacteria,1,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.telegraph.co.uk/foodanddrink/11595559/Junk-food-kills-bacteria-that-protect-against-obesity-heart-disease-and-cancer-study-finds.html
","Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.toxinalert.com/5-tips-to-kill-bacteria-with-healthy-cleaning-products/
","5 Tips To Kill Bacteria With Healthy Cleaning Products.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.toxinalert.com/5-tips-to-kill-bacteria-with-healthy-cleaning-products/
","Keeping the house clean and as germ-free as possible is one of the first steps towards a healthy life.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.glencoe.com/sites/common_assets/science/virtual_labs/LS08/LS08.swf
","Chemical agents designed to.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.cellsalive.com/pen.htm
","In this sequence, Escherichia coli were incubated in penicillin for 30 minutes.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.asm.org/index.php/88-news-room/journal-tipsheets/1252-dry-copper-kills-bacteria-on-contact
","Metallic copper surfaces kill microbes on contact, decimating their populations, according to a paper in the February 2011 issue of the journal Applied and...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.asm.org/index.php/88-news-room/journal-tipsheets/1252-dry-copper-kills-bacteria-on-contact
","Metallic copper surfaces kill microbes on contact, decimating their populations, according to a paper in the February 2011 issue of the journal Applied and...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.youtube.com/watch?v=uQuOVRJkhlo
","Oct 24, 2011 ... Dr. ORielly killing spirochetes wtih solution applied to microscope slide.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.the-scientist.com/?articles.view/articleNo/44129/title/Riboswitch-Flip-Kills-Bacteria/
","Sep 30, 2015 ... Part of a riboswitchWIKIMEDIA, FDARDELResearchers at the pharmaceutical company Merck have identified a new bacteria-killing compound...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.telegraph.co.uk/foodanddrink/11595559/Junk-food-kills-bacteria-that-protect-against-obesity-heart-disease-and-cancer-study-finds.html
","Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.livescience.com/3069-bleach-kills-bacteria.html
","Nov 13, 2008 ... Chemical in bleach disables key protein in bacteria, killing them off.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.livescience.com/3069-bleach-kills-bacteria.html
","Nov 13, 2008 ... Chemical in bleach disables key protein in bacteria, killing them off.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.khanacademy.org/partner-content/mit-k12/mit-k12-biology/v/bread-mold-kills-bacteria
","
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.khanacademy.org/partner-content/mit-k12/mit-k12-biology/v/bread-mold-kills-bacteria
","
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.khanacademy.org/partner-content/mit-k12/mit-k12-biology/v/bread-mold-kills-bacteria
","
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.khanacademy.org/partner-content/mit-k12/mit-k12-biology/v/bread-mold-kills-bacteria
","Here's some fresh bread.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.khanacademy.org/partner-content/mit-k12/mit-k12-biology/v/bread-mold-kills-bacteria
","I'll add some water because...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.cellsalive.com/pen.htm
","In this sequence, Escherichia coli were incubated in penicillin for 30 minutes.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.asm.org/index.php/88-news-room/journal-tipsheets/1252-dry-copper-kills-bacteria-on-contact
","Metallic copper surfaces kill microbes on contact, decimating their populations, according to a paper in the February 2011 issue of the journal Applied and...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.asm.org/index.php/88-news-room/journal-tipsheets/1252-dry-copper-kills-bacteria-on-contact
","Metallic copper surfaces kill microbes on contact, decimating their populations, according to a paper in the February 2011 issue of the journal Applied and...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","https://www.youtube.com/watch?v=uQuOVRJkhlo
","Oct 24, 2011 ... Dr. ORielly killing spirochetes wtih solution applied to microscope slide.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.the-scientist.com/?articles.view/articleNo/44129/title/Riboswitch-Flip-Kills-Bacteria/
","Sep 30, 2015 ... Part of a riboswitchWIKIMEDIA, FDARDELResearchers at the pharmaceutical company Merck have identified a new bacteria-killing compound...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.telegraph.co.uk/foodanddrink/11595559/Junk-food-kills-bacteria-that-protect-against-obesity-heart-disease-and-cancer-study-finds.html
","Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and...
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.livescience.com/3069-bleach-kills-bacteria.html
","Nov 13, 2008 ... Chemical in bleach disables key protein in bacteria, killing them off.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.livescience.com/3069-bleach-kills-bacteria.html
","Nov 13, 2008 ... Chemical in bleach disables key protein in bacteria, killing them off.
"
 kills bacteria,2,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.glencoe.com/sites/common_assets/science/virtual_labs/LS08/LS08.swf
","Chemical agents designed to.
"
